Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%)
India, World,2022,Import,Fuel,277512629.10,37.88
India, World,2022,Import,Machinery and Transport Equipment,143070397.40,19.53
India,"Middle East, North Africa, Afghanistan & Pakistan",2022,Import,Fuel,140780004.70,72.39
India, World,2022,Import, Capital goods,138506721.70,18.91
India, World,2022,Import,Mach and Elec,124106668.50,16.94
India,East Asia & Pacific,2022,Import,Machinery and Transport Equipment,100622845.40,37.51
India,East Asia & Pacific,2022,Import, Capital goods,95323776.04,35.54
India,East Asia & Pacific,2022,Import,Mach and Elec,91325436.70,34.05
India,China,2022,Import,Machinery and Transport Equipment,53966914.42,52.78
India,China,2022,Import,Mach and Elec,52300976.94,51.15
India,China,2022,Import, Capital goods,49577254.99,48.49
India, World,2022,Import,Metals,43074933.66,5.88
India,Europe & Central Asia,2022,Import,Fuel,41848396.91,32.53
India,East Asia & Pacific,2022,Import,Fuel,40966945.26,15.27
India,Iraq,2022,Import,Fuel,38612101.27,98.83
India,Saudi Arabia,2022,Import,Fuel,37720942.93,81.67
India,Russian Federation,2022,Import,Fuel,33974151.91,83.62
India,United Arab Emirates,2022,Import,Fuel,28254945.32,52.47
India, World,2022,Import,Plastic or Rubber,27667355.35,3.78
India,Europe & Central Asia,2022,Import, Capital goods,23971468.52,18.63
India,Europe & Central Asia,2022,Import,Machinery and Transport Equipment,22878157.48,17.78
India,East Asia & Pacific,2022,Import,Metals,22602596.29,8.43
India,Sub-Saharan Africa,2022,Import,Fuel,22320758.12,50.41
India,North America,2022,Import,Fuel,21824548.57,39.2
India,United States,2022,Import,Fuel,20722204.50,40.03
India,Europe & Central Asia,2022,Import,Mach and Elec,19387335.55,15.07
India,East Asia & Pacific,2022,Import,Plastic or Rubber,16131349.95,6.01
India,Australia,2022,Import,Fuel,16020855.70,81.64
India,Qatar,2022,Import,Fuel,14957878.55,85.22
India,Indonesia,2022,Import,Fuel,14731888.34,51.39
India,Kuwait,2022,Import,Fuel,11674177.52,88.25
India,Singapore,2022,Import, Capital goods,11232211.61,46
India,Singapore,2022,Import,Machinery and Transport Equipment,10844460.48,44.41
India,"Hong Kong, China",2022,Import,Mach and Elec,10416010.13,53.53
India,"Hong Kong, China",2022,Import,Machinery and Transport Equipment,10299080.91,52.93
India,"Hong Kong, China",2022,Import, Capital goods,9850795.84,50.63
India,Latin America & Caribbean,2022,Import,Fuel,9128757.55,32.77
